Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Adriana,,es ESP,FW,27-163,79,0,0,0,0,2,1,0,0,0,0,,,,,0,,
Emma Kete,,nz NZL,FW,26-230,11,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Amy Barczuk,,us USA,DF,23-173,90,0,0,0,0,1,0,0,0,0,1,,,,,0,,
Sam Kerr,,au AUS,"FW,MF",20-221,90,0,0,0,0,1,0,0,0,0,1,,,,,0,,
Brittany Kolmel,,us USA,DF,26-213,90,0,0,0,0,0,0,0,0,0,2,,,,,0,,
Carli Lloyd,,us USA,"FW,MF",31-277,90,0,0,0,0,2,0,1,0,3,2,,,,,0,,
Vicky Losada,,es ESP,MF,23-045,90,0,0,0,0,2,1,0,0,1,2,,,,,0,,
Haley Palmer,,us USA,DF,21-182,33,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Kat Williamson,,us USA,DF,24-261,57,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Katherine Reynolds,,us USA,DF,26-217,90,0,0,0,0,0,0,0,0,0,2,,,,,0,,
Angela Salem,,us USA,"FW,MF",25-269,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Lydia Williams,,au AUS,GK,25-341,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
McCall Zerboni,,us USA,MF,27-127,62,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Courtney Wetzel,,us USA,"DF,MF",25-053,28,0,0,0,0,0,0,0,0,0,0,,,,,0,,
14 Players,,,,,990,0,0,0,0,8,2,1,0,5,12,,,,,0,,
