Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Yael Averbuch,,us USA,"DF,MF",27-256,90,0,0,0,0,0,0,0,0,2,3,,,,,0,,
Niki Cross,,us USA,DF,29-048,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Lisa De Vanna,,au AUS,FW,29-245,45,1,0,0,0,2,1,0,0,0,1,,,,,0,,
Verónica Pérez,,mx MEX,"DF,MF",26-060,45,0,0,0,0,0,0,0,0,3,0,,,,,0,,
Crystal Dunn,,us USA,"DF,MF",22-014,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Robyn Gayle,,ca CAN,DF,28-259,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kerstin Garefrekes,,de GER,"FW,MF",34-316,90,0,0,0,0,2,1,0,0,0,0,,,,,0,,
Ashlyn Harris,,us USA,GK,28-271,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Ali Krieger,,us USA,"DF,MF",29-354,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Diana Matheson,,ca CAN,MF,30-102,90,0,0,0,0,0,0,0,0,0,2,,,,,0,,
Christine Nairn,,us USA,MF,23-295,83,0,0,0,0,1,1,0,0,1,0,,,,,0,,
Danesha Adams,,us USA,"FW,MF",28-041,7,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Alex Singer,,us USA,DF,26-241,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Jodie Taylor,,eng ENG,FW,28-061,90,0,1,0,0,5,2,0,0,0,0,,,,,0,,
14 Players,,,,,990,1,1,0,0,10,5,0,0,8,8,,,,,0,,
