Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,,us USA,DF,26-123,90,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Corsie,,sct SCO,"DF,MF",26-045,90,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie Cox,,us USA,DF,29-181,90,0,0,0,0,,,0,0,,,,,,,0,,
Jess Fishlock,,wls WAL,MF,28-260,90,0,0,0,0,,,0,0,,,,,,,0,,
Kendall Fletcher,,us USA,"DF,MF",30-329,76,0,0,0,0,,,0,0,,,,,,,0,,
Elli Reed,,us USA,"DF,MF",26-052,14,0,0,0,0,,,0,0,,,,,,,0,,
Kim Little,,sct SCO,"FW,MF",25-094,90,0,0,0,0,,,0,0,,,,,,,0,,
Merritt Mathias,,us USA,"DF,MF",25-091,71,0,0,0,0,,,0,0,,,,,,,0,,
Katrine Veje,,dk DEN,"DF,MF",24-104,19,0,0,0,0,,,0,0,,,,,,,0,,
Megan Rapinoe,,us USA,"FW,MF",30-088,90,0,0,0,0,,,0,0,,,,,,,0,,
Hope Solo,,us USA,GK,34-063,90,0,0,0,0,,,0,0,,,,,,,0,,
Keelin Winters,,us USA,MF,26-296,90,0,0,0,0,,,0,0,,,,,,,0,,
Beverly Yanez,,us USA,"FW,MF",27-074,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,0,0,0,0,,,0,0,,,,,,,0,,
