Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,3.0,us USA,DF,23-353,90,0,0,0,0,2,1,0,0,0,1,0,0,,,,,
Liz Bogus,5.0,us USA,"FW,MF",29-084,53,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Keelin Winters,11.0,us USA,MF,24-161,37,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Tiffany Cameron,9.0,jm JAM,FW,21-215,89,0,0,0,0,2,1,0,0,1,0,0,0,,,,,
Lyndsey Patterson,16.0,us USA,"FW,MF",30-163,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kiersten Dallstream,25.0,us USA,"DF,FW",25-075,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Jess Fishlock,10.0,wls WAL,MF,26-125,90,0,0,0,0,1,1,0,0,0,3,0,0,,,,,
Haley Kopmeyer,20.0,us USA,GK,22-325,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kaylyn Kyle,6.0,ca CAN,MF,24-225,90,0,0,0,0,0,0,1,0,2,1,0,0,,,,,
Christine Nairn,19.0,us USA,MF,22-236,90,0,0,0,0,6,4,0,0,0,0,0,0,,,,,
Teresa Noyola,8.0,mx MEX,"FW,MF",23-034,90,0,0,0,0,1,0,0,0,0,1,0,0,,,,,
Jenny Ruiz-Williams,13.0,mx MEX,"DF,MF",29-283,62,0,0,0,0,0,0,2,1,1,0,0,0,,,,,
Lindsay Taylor,17.0,us USA,FW,23-206,79,0,0,0,0,1,0,0,0,1,0,0,0,,,,,
Kristina Larsen,14.0,us USA,FW,24-337,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
14 Players,,,,,962,0,0,0,0,13,7,3,1,7,6,0,0,,,,,
