Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danesha Adams,9.0,us USA,"FW,MF",26-347,90,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Brittany Cameron,1.0,us USA,GK,26-167,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Lisa De Vanna,11.0,au AUS,FW,28-186,82,1,0,0,1,6,4,1,0,2,3,2,0,,,,,
Mónica Ocampo,8.0,mx MEX,FW,26-135,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Caitlin Foord,4.0,au AUS,"DF,FW",18-189,90,0,1,0,0,0,0,0,0,3,0,0,0,,,,,
Katy Freels,23.0,us USA,MF,23-041,60,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Brittany Bock,10.0,us USA,"DF,MF",26-038,9,0,0,0,0,0,0,1,0,2,0,0,0,,,,,
Taylor Lytle,6.0,us USA,MF,24-049,21,1,0,0,0,2,1,0,0,0,0,0,0,,,,,
CoCo Goodson,2.0,us USA,DF,22-334,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kendall Johnson,5.0,us USA,"DF,MF",22-025,90,0,0,0,0,0,0,0,0,1,1,0,0,,,,,
Manya Makoski,22.0,us USA,MF,29-031,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Kelley O'Hara,19.0,us USA,"DF,FW",24-288,90,0,1,0,0,5,4,0,0,0,1,1,0,,,,,
Christie Pearce,3.0,us USA,DF,37-329,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Sophie Schmidt,16.0,ca CAN,MF,24-325,90,1,0,0,0,1,1,0,0,0,0,0,0,,,,,
14 Players,,,,,990,3,2,0,1,15,10,2,0,9,6,3,0,,,,,
