Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lynn Biyendolo,9.0,us USA,"FW,MF",22-359,90,0.0,0.0,,,3.0,1.0,,,0,1,1.0,,,,,,
Sabrina D'Angelo,1.0,ca CAN,GK,23-003,90,,,,,,,,,0,0,,,,,,,
Abby Dahlkemper,13.0,us USA,"DF,MF",23-001,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Jaelene Daniels,15.0,us USA,DF,22-352,90,0.0,0.0,,,0.0,0.0,,,0,1,1.0,,,,,,
Makenzy Doniak,3.0,us USA,"FW,MF",22-079,66,0.0,0.0,,,2.0,1.0,,,0,0,0.0,,,,,,
Taylor Smith,11.0,us USA,"DF,FW",22-165,24,0.0,0.0,,,3.0,2.0,,,0,0,0.0,,,,,,
Elizabeth Eddy,4.0,us USA,"DF,MF",24-244,90,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Abby Erceg,6.0,nz NZL,"DF,FW",26-176,88,0.0,0.0,,,1.0,0.0,,,3,0,0.0,,,,,,
Michaela Hahn,2.0,us USA,MF,22-025,90,0.0,0.0,,,0.0,0.0,,,0,2,0.0,,,,,,
Alanna Kennedy,8.0,au AUS,"DF,MF",21-114,82,0.0,0.0,,,0.0,0.0,,,2,3,0.0,,,,,,
Adriana Leon,19.0,ca CAN,"FW,MF",23-225,8,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Jessica McDonald,14.0,us USA,FW,28-076,90,0.0,0.0,,,1.0,0.0,,,1,1,0.0,,,,,,
Sam Mewis,5.0,us USA,MF,23-218,90,0.0,0.0,,,1.0,1.0,,,5,1,0.0,,,,,,
13 Players,,,,,988,0.0,0.0,,,11.0,5.0,,,14,9,2.0,,,,,,
