Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Dagný Brynjarsdóttir,11.0,is ISL,MF,24-312,51,0.0,0.0,,,1.0,0.0,,,2,0,1.0,,,,,,
Amandine Henry,28.0,fr FRA,MF,26-263,39,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Adrianna Franch,24.0,us USA,GK,25-218,90,,,,,,,,,0,0,,,,,,,
Lindsey Heaps,7.0,us USA,"FW,MF",22-022,90,0.0,0.0,,,1.0,1.0,,,2,1,0.0,,,,,,
Tobin Heath,17.0,us USA,"FW,MF",28-019,90,0.0,0.0,,,3.0,3.0,,,2,4,0.0,,,,,,
Allie Long,10.0,us USA,"FW,MF",28-309,90,0.0,1.0,,,0.0,0.0,,,0,2,0.0,,,,,,
Emily Menges,4.0,us USA,DF,23-325,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Meg Morris,44.0,us USA,MF,24-037,20,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Mallory Weber,26.0,us USA,"DF,FW",22-074,70,0.0,0.0,,,1.0,1.0,,,0,1,0.0,,,,,,
Nadia Nadim,9.0,dk DEN,"FW,MF",28-167,77,1.0,0.0,,,1.0,1.0,,,1,0,1.0,,,,,,
Hayley Raso,21.0,au AUS,"FW,MF",21-286,13,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Katherine Reynolds,2.0,us USA,DF,28-277,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Christine Sinclair,12.0,ca CAN,"FW,MF",33-005,90,1.0,0.0,,,1.0,1.0,,,0,0,0.0,,,,,,
Emily Sonnett,16.0,us USA,"DF,MF",22-205,90,0.0,0.0,,,1.0,1.0,,,0,0,0.0,,,,,,
14 Players,,,,,990,2.0,1.0,,,9.0,8.0,,,10,10,2.0,,,,,,
