Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Andressinha,17.0,br BRA,MF,20-358,90,1.0,0.0,,,3.0,2.0,,,1,0,0.0,,,,,,
Amber Brooks,12.0,us USA,"DF,MF",25-091,90,0.0,0.0,,,0.0,0.0,,,2,1,0.0,,,,,,
Ellie Brush,8.0,au AUS,DF,27-248,90,0.0,0.0,,,1.0,0.0,,,1,0,0.0,,,,,,
Allysha Chapman,15.0,ca CAN,DF,27-089,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Rachel Daly,3.0,eng ENG,"DF,FW",24-139,90,0.0,1.0,,,3.0,1.0,,,3,2,2.0,,,,,,
Morgan Gautrat,6.0,us USA,MF,23-057,64,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Chioma Ubogagu,9.0,eng ENG,"FW,MF",23-226,26,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Carli Lloyd,10.0,us USA,"FW,MF",33-282,12,0.0,0.0,,,0.0,0.0,,,0,0,1.0,,,,,,
Kealia Watt,7.0,us USA,"FW,MF",24-083,78,0.0,0.0,,,3.0,1.0,,,1,1,1.0,,,,,,
Rebecca Moros,4.0,us USA,"DF,FW",30-353,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Poliana,2.0,br BRA,DF,25-077,90,0.0,0.0,,,1.0,1.0,,,1,1,0.0,,,,,,
Janine Sonis,11.0,ca CAN,"FW,MF",21-247,76,0.0,0.0,,,1.0,1.0,,,1,2,0.0,,,,,,
Cami Privett,23.0,us USA,MF,23-038,14,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Lydia Williams,18.0,au AUS,GK,27-346,90,,,,,,,,,0,0,,,,,,,
14 Players,,,,,990,1.0,1.0,,,12.0,6.0,,,13,9,4.0,,,,,,
