Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Ana-Maria Crnogorčević,7.0,ch SUI,FW,27-234,82,0,0,0,0,,,0,0,,,,,,,0,,
Ifeoma Onumonu,22.0,ng NGA,FW,24-089,8,0,0,0,0,,,0,0,,,,,,,0,,
Tobin Heath,17.0,us USA,AM,29-361,90,0,1,0,0,,,0,0,,,,,,,0,,
Ellie Carpenter,15.0,au AUS,AM,18-027,62,0,0,0,0,,,0,0,,,,,,,0,,
Kelli Hubly,20.0,us USA,DF,23-289,28,0,0,0,0,,,0,0,,,,,,,0,,
Christine Sinclair,12.0,ca CAN,AM,34-347,90,1,0,0,0,,,0,0,,,,,,,0,,
Lindsey Heaps,10.0,us USA,DM,23-364,90,1,0,0,0,,,1,0,,,,,,,0,,
Andressinha,8.0,br BRA,DM,23-024,57,0,0,0,0,,,0,0,,,,,,,0,,
Angela Salem,36.0,us USA,"FW,MF",29-305,33,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Klingenberg,25.0,us USA,LB,29-296,90,0,1,0,0,,,0,0,,,,,,,0,,
Emily Menges,4.0,us USA,CB,25-301,90,0,0,0,0,,,0,0,,,,,,,0,,
Katherine Reynolds,2.0,us USA,CB,30-253,90,0,0,0,0,,,0,0,,,,,,,0,,
Margaret Purce,23.0,us USA,RB,22-249,90,0,0,0,0,,,0,0,,,,,,,0,,
Britt Eckerstrom,33.0,us USA,GK,24-362,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,2,0,0,,,1,0,,,,,,,0,,
