Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sabrina D'Angelo,1.0,ca CAN,GK,22-362,90,,,,,,,,,0,0,,,,,,,
Abby Dahlkemper,13.0,us USA,"DF,MF",22-360,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Jaelene Daniels,15.0,us USA,DF,22-345,90,1.0,0.0,,,2.0,2.0,,,1,0,0.0,,,,,,
Elizabeth Eddy,4.0,us USA,"DF,MF",24-237,90,0.0,0.0,,,1.0,1.0,,,3,0,0.0,,,,,,
Abby Erceg,6.0,nz NZL,"DF,FW",26-169,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Jeon Ga-eul,7.0,kr KOR,FW,27-236,68,0.0,0.0,,,0.0,0.0,,,1,2,0.0,,,,,,
Makenzy Doniak,3.0,us USA,"FW,MF",22-072,22,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Alanna Kennedy,8.0,au AUS,"DF,MF",21-107,90,0.0,0.0,,,1.0,1.0,,,0,1,0.0,,,,,,
Adriana Leon,19.0,ca CAN,"FW,MF",23-218,68,0.0,0.0,,,1.0,0.0,,,0,1,0.0,,,,,,
Michaela Hahn,2.0,us USA,MF,22-018,22,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Jessica McDonald,14.0,us USA,FW,28-069,90,0.0,0.0,,,3.0,1.0,,,0,0,1.0,,,,,,
Sam Mewis,5.0,us USA,MF,23-211,90,1.0,0.0,,,4.0,2.0,,,3,2,0.0,,,,,,
Taylor Smith,11.0,us USA,"DF,FW",22-158,83,0.0,0.0,,,2.0,0.0,,,1,0,0.0,,,,,,
Kristen Hamilton,17.0,us USA,"FW,MF",24-020,7,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
14 Players,,,,,990,2.0,0.0,,,15.0,7.0,,,12,7,1.0,,,,,,
