Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Amy Barczuk,,us USA,DF,24-243,90,0,0,0,0,,,0,0,,,,,,,0,,
Maddy Evans,,us USA,"DF,MF",24-068,65,0,0,0,0,,,1,0,,,,,,,0,,
Stephanie McCaffrey,,us USA,FW,22-130,25,0,0,0,0,,,0,0,,,,,,,0,,
Kassey Kallman,,us USA,DF,23-053,90,0,0,0,0,,,0,0,,,,,,,0,,
Julie King,,us USA,DF,25-250,90,0,0,0,0,,,0,0,,,,,,,0,,
Jami Kranich,,us USA,GK,23-032,90,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Lazo,,us USA,DF,22-054,90,0,0,0,0,,,0,0,,,,,,,0,,
Morgan Marlborough,,us USA,FW,24-207,58,0,0,0,0,,,0,0,,,,,,,0,,
Bia,,br BRA,MF,29-264,32,0,0,0,0,,,0,0,,,,,,,0,,
Kristie Mewis,,us USA,"DF,MF",24-123,90,0,0,0,0,,,0,0,,,,,,,0,,
Mollie Pathman,,us USA,"FW,MF",22-362,90,0,0,0,0,,,1,0,,,,,,,0,,
Suzane Pires,,pt POR,MF,22-315,33,0,0,0,0,,,0,0,,,,,,,0,,
Nkem Ezurike,,ca CAN,FW,23-101,57,0,0,0,0,,,0,0,,,,,,,0,,
Katie Schoepfer,,us USA,FW,26-230,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,2,0,,,,,,,0,,
