Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Brittany Cameron,,us USA,GK,28-228,90,0,0,0,0,,,0,0,,,,,,,0,,
Lindsi Cutshall,,us USA,DF,24-274,40,0,0,0,0,,,0,0,,,,,,,0,,
Camille Levin,,us USA,DF,25-086,50,0,0,0,0,,,0,0,,,,,,,0,,
Caitlin Foord,,au AUS,"DF,FW",20-250,90,0,0,0,0,,,0,0,,,,,,,0,,
Katy Freels,,us USA,MF,25-102,90,1,1,0,0,,,0,0,,,,,,,0,,
Sam Kerr,,au AUS,"FW,MF",21-312,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Lytle,,us USA,MF,26-110,90,0,0,0,0,,,1,0,,,,,,,0,,
Hayley McCall,,us USA,DF,23-127,90,0,0,0,0,,,0,0,,,,,,,0,,
Nadia Nadim,,dk DEN,"FW,MF",27-198,90,1,0,0,0,,,0,0,,,,,,,0,,
Kelley O'Hara,,us USA,"DF,FW",26-349,89,0,2,0,0,,,0,0,,,,,,,0,,
Shawna Gordon,,us USA,MF,25-182,1,0,0,0,0,,,0,0,,,,,,,0,,
Christie Pearce,,us USA,DF,40-025,90,1,0,0,0,,,0,0,,,,,,,0,,
Sarah Woldmoe,,us USA,MF,22-357,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,3,3,0,0,,,1,0,,,,,,,0,,
