Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
McKenzie Meehan,2.0,us USA,FW,22-150,54,0,0,0,0,,,0,0,,,,,,,0,,
Sam Kerr,20.0,au AUS,"FW,MF",23-256,36,0,0,0,0,,,0,0,,,,,,,0,,
Leah Galton,21.0,eng ENG,AM,23-000,90,0,0,0,0,,,0,0,,,,,,,0,,
Kelley O'Hara,19.0,us USA,AM,28-293,90,0,0,0,0,,,0,0,,,,,,,0,,
Daphne Corboz,10.0,us USA,AM,23-344,64,0,0,0,0,,,0,0,,,,,,,0,,
Raquel Rodríguez,11.0,cr CRC,"FW,MF",23-208,26,0,0,0,0,,,0,0,,,,,,,0,,
Nikki Stanton,7.0,us USA,DM,26-210,72,0,0,0,0,,,1,0,,,,,,,0,,
Maya Hayes,5.0,us USA,FW,25-059,18,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Woldmoe,16.0,us USA,DM,24-301,90,0,0,0,0,,,1,0,,,,,,,0,,
Erica Skroski,8.0,us USA,LB,23-099,90,0,0,0,0,,,0,0,,,,,,,0,,
Mandy Freeman,22.0,us USA,CB,22-062,90,0,0,0,0,,,0,0,,,,,,,0,,
Christie Pearce,3.0,us USA,CB,41-334,90,0,0,0,0,,,0,0,,,,,,,0,,
Kayla Mills,15.0,us USA,RB,21-197,90,0,0,0,0,,,0,0,,,,,,,0,,
Kailen Sheridan,1.0,ca CAN,GK,21-312,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,2,0,,,,,,,0,,
