Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Whitney Church,5.0,us USA,DF,23-110,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Caprice Dydasco,3.0,us USA,DF,22-365,90,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Cali Farquharson,17.0,us USA,FW,22-245,83,0.0,0.0,,,3.0,2.0,,,0,1,0.0,,,,,,
Line Jensen,27.0,dk DEN,DF,24-361,7,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Tori Huster,23.0,us USA,"DF,MF",26-330,90,0.0,0.0,,,2.0,1.0,,,0,1,0.0,,,,,,
Estelle Johnson,24.0,cm CMR,DF,28-028,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Ali Krieger,11.0,us USA,"DF,MF",32-021,90,0.0,0.0,,,2.0,0.0,,,0,0,0.0,,,,,,
Joanna Lohman,15.0,us USA,"DF,MF",34-053,90,0.0,0.0,,,1.0,0.0,,,2,0,0.0,,,,,,
Cheyna Matthews,20.0,jm JAM,FW,22-282,65,0.0,0.0,,,0.0,0.0,,,1,3,0.0,,,,,,
Francisca Ordega,14.0,ng NGA,"FW,MF",22-304,25,0.0,0.0,,,2.0,1.0,,,0,2,0.0,,,,,,
Christine Nairn,7.0,us USA,MF,25-328,90,2.0,0.0,,,4.0,2.0,,,0,1,0.0,,,,,,
Katie Stengel,12.0,us USA,"FW,MF",24-171,71,0.0,0.0,,,4.0,0.0,,,1,0,0.0,,,,,,
Alyssa Kleiner,22.0,us USA,DF,23-139,19,0.0,0.0,,,1.0,0.0,,,0,0,1.0,,,,,,
Kelsey Wys,18.0,us USA,GK,25-196,90,,,,,,,,,0,0,,,,,,,
14 Players,,,,,990,2.0,0.0,,,20.0,6.0,,,4,8,1.0,,,,,,
