Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lynn Biyendolo,9.0,us USA,FW,25-051,90,0,0,0,0,,,0,0,,,,,,,0,,
Jessica McDonald,14.0,us USA,FW,30-133,64,1,0,0,0,,,0,0,,,,,,,0,,
Sam Mewis,5.0,us USA,MF,25-275,26,0,0,0,0,,,0,0,,,,,,,0,,
Debinha,10.0,br BRA,LM,26-264,87,1,0,0,0,,,0,0,,,,,,,0,,
Meredith Speck,25.0,us USA,MF,25-160,3,0,0,0,0,,,0,0,,,,,,,0,,
McCall Zerboni,7.0,us USA,CM,31-210,90,0,0,0,0,,,0,0,,,,,,,0,,
Denise O'Sullivan,8.0,ie IRL,CM,24-157,90,0,0,0,0,,,1,0,,,,,,,0,,
Crystal Dunn,19.0,us USA,RM,26-008,70,0,1,0,0,,,0,0,,,,,,,0,,
Kristen Hamilton,23.0,us USA,"FW,MF",26-085,20,0,0,0,0,,,0,0,,,,,,,0,,
Heather O'Reilly,17.0,us USA,LB,33-190,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Erceg,6.0,nz NZL,CB,28-233,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Dahlkemper,13.0,us USA,CB,25-059,90,0,0,0,0,,,0,0,,,,,,,0,,
Merritt Mathias,11.0,us USA,RB,28-009,90,0,0,0,0,,,0,0,,,,,,,0,,
Katelyn Rowland,99.0,us USA,GK,24-117,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,1,0,0,,,1,0,,,,,,,0,,
