Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Eunice Beckmann,27.0,de GER,FW,24-160,72,0.0,0.0,,,3.0,2.0,,,5,0,1.0,,,,,,
Kassey Kallman,5.0,us USA,DF,24-072,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Julie King,8.0,us USA,DF,26-270,90,1.0,0.0,,,1.0,1.0,,,0,1,0.0,,,,,,
Jami Kranich,2.0,us USA,GK,24-051,90,,,,,,,,,0,0,,,,,,,
Elise Krieghoff,3.0,us USA,FW,22-242,17,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Stephanie McCaffrey,9.0,us USA,FW,23-150,90,0.0,0.0,,,2.0,0.0,,,0,1,0.0,,,,,,
Mollie Pathman,20.0,us USA,"FW,MF",24-016,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Angela Salem,26.0,us USA,"FW,MF",27-359,90,1.0,0.0,,,1.0,1.0,,,1,0,0.0,,,,,,
Louise Schillgard,10.0,se SWE,MF,26-268,90,0.0,1.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Katie Schoepfer,88.0,us USA,FW,27-250,60,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Kylie Strom,30.0,us USA,DF,24-121,30,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Stephanie Verdoia,22.0,us USA,MF,23-197,90,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Christen Westphal,21.0,us USA,DF,22-319,60,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Brittany Ratcliffe,11.0,us USA,"FW,MF",22-161,30,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
14 Players,,,,,989,2.0,1.0,,,9.0,4.0,,,10,5,1.0,,,,,,
