Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Marian Dougherty,2.0,us USA,DF,28-139,90,0,0,0,0,0,0,0,0,1,1,0,0,,,,,
Becky Edwards,14.0,us USA,"DF,MF",24-326,90,0,0,0,0,0,0,0,0,2,3,0,0,,,,,
Angie Kerr,8.0,us USA,"FW,MF",28-015,63,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Danielle Foxhoven,9.0,us USA,"FW,MF",23-155,27,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Karina LeBlanc,1.0,ca CAN,GK,33-014,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Allie Long,10.0,us USA,"FW,MF",25-243,90,0,0,0,0,1,1,0,0,4,1,0,0,,,,,
Nikki Marshall,7.0,us USA,"DF,FW",24-315,61,0,0,0,0,0,0,0,0,1,1,0,0,,,,,
Emilee O'Neil,4.0,us USA,"DF,MF",30-018,29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Alex Morgan,13.0,us USA,FW,23-285,90,0,0,0,0,2,1,0,0,0,2,0,0,,,,,
Christine Sinclair,12.0,ca CAN,"FW,MF",29-305,90,1,0,1,1,2,2,0,0,1,1,0,0,,,,,
Rachel Van Hollebeke,16.0,us USA,DF,27-230,90,0,0,0,0,0,0,0,0,2,0,0,0,,,,,
Nikki Washington,21.0,us USA,"FW,MF",24-255,89,0,0,0,0,1,0,1,0,1,2,0,0,,,,,
Courtney Wetzel,20.0,us USA,"DF,MF",24-047,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kat Williamson,5.0,us USA,DF,23-255,90,0,0,0,0,0,0,1,0,1,0,0,0,,,,,
14 Players,,,,,990,1,0,1,1,7,4,2,0,13,12,0,0,,,,,
