Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,3.0,us USA,DF,23-325,84,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jenny Ruiz-Williams,13.0,mx MEX,"DF,MF",29-255,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Michelle Betos,18.0,us USA,GK,25-060,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Liz Bogus,5.0,us USA,"FW,MF",29-056,66,0,0,0,0,2,0,0,0,1,0,0,0,,,,,
Kristina Larsen,14.0,us USA,FW,24-309,24,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Kate Deines,4.0,us USA,"DF,MF",23-216,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Jess Fishlock,10.0,wls WAL,MF,26-097,90,1,0,0,0,2,1,1,0,2,3,0,0,,,,,
Kaylyn Kyle,6.0,ca CAN,MF,24-197,90,0,0,0,0,1,0,0,0,1,4,0,0,,,,,
Christine Nairn,19.0,us USA,MF,22-208,90,0,0,0,0,2,1,1,0,1,1,1,0,,,,,
Teresa Noyola,8.0,mx MEX,"FW,MF",23-006,54,0,0,0,0,0,0,0,0,0,2,0,0,,,,,
Kiersten Dallstream,25.0,us USA,"DF,FW",25-047,36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Elli Reed,7.0,us USA,"DF,MF",23-254,90,0,0,0,0,0,0,1,0,1,1,0,0,,,,,
Keelin Winters,11.0,us USA,MF,24-133,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Emily Zurrer,2.0,ca CAN,DF,25-283,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
14 Players,,,,,990,1,0,0,0,7,2,3,0,10,11,1,0,,,,,
