Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Christina Burkenroad,11.0,mx MEX,MF,23-011,63,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Becky Edwards,14.0,us USA,"DF,MF",28-062,27,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Kristen Edmonds,12.0,us USA,"DF,MF",29-062,90,1.0,0.0,,,3.0,1.0,,,0,0,0.0,,,,,,
Maddy Evans,18.0,us USA,"DF,MF",25-093,90,0.0,0.0,,,1.0,1.0,,,2,1,0.0,,,,,,
Jamia Fields,4.0,us USA,FW,22-303,90,0.0,1.0,,,1.0,0.0,,,1,1,0.0,,,,,,
Kaylyn Kyle,6.0,ca CAN,MF,27-291,90,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Camille Levin,2.0,us USA,DF,26-090,90,0.0,0.0,,,1.0,0.0,,,0,1,0.0,,,,,,
Toni Pressley,3.0,us USA,DF,26-155,90,0.0,0.0,,,2.0,0.0,,,2,0,0.0,,,,,,
Kaitlyn Savage,25.0,,GK,25-270,90,,,,,,,,,0,0,,,,,,,
Jasmyne Spencer,23.0,us USA,"DF,FW",25-331,90,1.0,0.0,,,2.0,2.0,,,1,4,0.0,,,,,,
Dani Weatherholt,17.0,us USA,MF,22-128,79,0.0,0.0,,,0.0,0.0,,,3,0,0.0,,,,,,
Sarah Hagen,8.0,us USA,FW,26-248,11,0.0,1.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Sam Witteman,26.0,us USA,DF,22-148,78,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Leah Fortune,16.0,br BRA,"DF,MF",25-223,12,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
14 Players,,,,,990,2.0,2.0,,,11.0,4.0,,,11,8,0.0,,,,,,
