Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lynn Biyendolo,9.0,us USA,"FW,MF",23-070,90,1.0,2.0,,,6.0,2.0,,,0,0,1.0,,,,,,
Abby Dahlkemper,13.0,us USA,"DF,MF",23-078,90,0.0,0.0,,,1.0,0.0,,,2,1,0.0,,,,,,
Jaelene Daniels,15.0,us USA,DF,23-063,90,0.0,0.0,,,1.0,1.0,,,1,0,0.0,,,,,,
Makenzy Doniak,3.0,us USA,"FW,MF",22-156,70,0.0,0.0,,,1.0,1.0,,,0,1,0.0,,,,,,
Janice Cayman,20.0,be BEL,"DF,FW",27-292,20,0.0,0.0,,,1.0,0.0,,,0,1,0.0,,,,,,
Elizabeth Eddy,4.0,us USA,"DF,MF",24-321,69,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Michaela Hahn,2.0,us USA,MF,22-102,21,0.0,0.0,,,1.0,0.0,,,1,0,0.0,,,,,,
Jessica McDonald,14.0,us USA,FW,28-153,90,1.0,1.0,,,2.0,1.0,,,0,0,1.0,,,,,,
Courtney Niemiec,23.0,us USA,DF,24-108,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Katelyn Rowland,12.0,us USA,GK,22-136,90,,,,,,,,,0,0,,,,,,,
Lianne Sanderson,10.0,eng ENG,FW,28-178,82,1.0,0.0,,,1.0,1.0,,,0,0,0.0,,,,,,
Kristen Hamilton,17.0,us USA,"FW,MF",24-104,8,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Taylor Smith,11.0,us USA,"DF,FW",22-242,90,0.0,0.0,,,2.0,0.0,,,1,0,0.0,,,,,,
McCall Zerboni,7.0,us USA,MF,29-230,90,0.0,0.0,,,0.0,0.0,0.0,0.0,1,5,0.0,,,,,,
14 Players,,,,,990,3.0,3.0,,,16.0,6.0,0.0,0.0,7,10,2.0,,,,,,
