Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,,us USA,"DF,MF",28-279,90,0,0,0,0,,,0,0,,,,,,,0,,
Yael Averbuch,,us USA,"DF,MF",28-201,90,0,0,0,0,,,0,0,,,,,,,0,,
Nicole Barnhart,,us USA,GK,33-225,90,0,0,0,0,,,0,0,,,,,,,0,,
Liz Bogus,,us USA,"FW,MF",31-088,55,0,0,0,0,,,0,0,,,,,,,0,,
Caroline Kastor,,us USA,FW,23-223,35,0,0,0,0,,,0,0,,,,,,,0,,
Jen Buczkowski,,us USA,"DF,MF",30-049,90,0,0,0,0,,,0,0,,,,,,,0,,
Shea Groom,,us USA,"FW,MF",22-080,90,0,0,0,0,,,1,0,,,,,,,0,,
Sarah Hagen,,us USA,FW,25-186,90,0,0,0,0,,,0,0,,,,,,,0,,
Mandy Laddish,,us USA,MF,23-010,90,0,0,0,0,,,0,0,,,,,,,0,,
Amy LePeilbet,,us USA,DF,33-072,90,1,0,0,0,,,0,0,,,,,,,0,,
Rebecca Moros,,us USA,"DF,FW",30-017,90,0,0,0,0,,,0,0,,,,,,,0,,
Erika Tymrak,,us USA,"FW,MF",23-289,90,0,1,0,0,,,0,0,,,,,,,0,,
12 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
