Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Nadine Angerer,,de GER,GK,35-245,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Verónica Boquete,,es ESP,"FW,MF",27-095,83,2,2,1,1,4,2,0,0,1,2,,,,,0,,
Meleana Shim,,us USA,MF,22-291,7,0,1,0,0,0,0,0,0,0,0,,,,,0,,
Amber Brooks,,us USA,"DF,MF",23-171,90,1,0,0,0,2,2,0,0,1,0,,,,,0,,
Steph Catley,,au AUS,"DF,MF",20-168,90,0,1,0,0,0,0,0,0,0,1,,,,,0,,
Tobin Heath,,us USA,"FW,MF",26-045,90,0,0,0,0,3,1,1,0,3,1,,,,,0,,
Allie Long,,us USA,"FW,MF",26-334,68,2,0,0,0,2,2,0,0,2,1,,,,,0,,
Sinead Farrelly,,ie IRL,MF,24-239,22,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Nikki Marshall,,us USA,"DF,FW",26-041,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Emily Menges,,us USA,DF,21-350,90,0,0,0,0,0,0,0,0,1,2,,,,,0,,
Alex Morgan,,us USA,FW,25-011,77,1,1,0,0,3,2,0,0,0,2,,,,,0,,
Jessica McDonald,,us USA,FW,26-135,13,0,0,0,0,1,0,0,0,0,0,,,,,0,,
Rebecca Moros,,us USA,"DF,FW",29-068,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Christine Sinclair,,ca CAN,"FW,MF",31-031,90,1,1,0,0,4,1,0,0,0,0,,,,,0,,
14 Players,,,,,990,7,6,1,1,19,10,1,0,10,9,,,,,0,,
