Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Christen Press,23.0,us USA,FW,28-205,90,2,0,0,0,,,0,0,,,,,,,0,,
Jen Hoy,2.0,us USA,FW,26-185,88,0,1,0,0,,,0,0,,,,,,,0,,
Alyssa Mautz,4.0,us USA,"FW,MF",27-358,2,0,0,0,0,,,0,0,,,,,,,0,,
Vanessa DiBernardo,10.0,us USA,AM,25-068,90,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Kaskie,30.0,us USA,DM,21-307,84,0,0,0,0,,,0,0,,,,,,,0,,
Morgan Proffitt,13.0,us USA,MF,22-334,6,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Colaprico,24.0,us USA,DM,24-077,45,0,0,0,0,,,0,0,,,,,,,0,,
Julie Ertz,8.0,us USA,"DF,MF",25-107,45,0,0,0,0,,,0,0,,,,,,,0,,
Sofia Huerta,11.0,us USA,DM,24-220,90,0,1,0,0,,,0,0,,,,,,,0,,
Arin Wright,3.0,us USA,LB,24-209,90,0,0,0,0,,,0,0,,,,,,,0,,
Casey Krueger,6.0,us USA,CB,26-333,90,0,0,0,0,,,0,0,,,,,,,0,,
Katie Lind,5.0,us USA,CB,23-157,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Comeau,7.0,us USA,RB,24-001,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Naeher,1.0,us USA,GK,29-093,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,2,0,0,,,0,0,,,,,,,0,,
