Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Rachael Axon,,eng ENG,MF,29-174,90,0,0,0,0,,,0,0,,,,,,,0,,
Allysha Chapman,,ca CAN,DF,26-097,90,0,0,0,0,,,0,0,,,,,,,0,,
Niki Cross,,us USA,DF,29-337,90,0,0,0,0,,,0,0,,,,,,,0,,
Melissa Henderson,,us USA,"FW,MF",25-252,58,0,0,0,0,,,0,0,,,,,,,0,,
Tiffany McCarty,,us USA,FW,24-139,32,0,0,0,0,,,0,0,,,,,,,0,,
Bianca Henninger,,mx MEX,GK,24-192,90,0,0,0,0,,,0,0,,,,,,,0,,
Jordan Jackson,,us USA,MF,24-225,57,0,0,0,0,,,0,0,,,,,,,0,,
Cami Privett,,us USA,MF,22-047,33,0,0,0,0,,,0,0,,,,,,,0,,
Ella Masar,,us USA,FW,29-029,90,0,0,0,0,,,0,0,,,,,,,0,,
Jessica McDonald,,us USA,FW,27-063,90,0,0,0,0,,,0,0,,,,,,,0,,
Ashley Nick,,us USA,MF,27-187,90,0,0,0,0,,,0,0,,,,,,,0,,
Kealia Watt,,us USA,"FW,MF",23-091,77,0,0,0,0,,,0,0,,,,,,,0,,
Allie Bailey,,us USA,FW,21-220,13,0,0,0,0,,,0,0,,,,,,,0,,
Carleigh Williams,,us USA,DF,22-149,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,0,0,,,,,,,0,,
