Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Rosie White,10.0,nz NZL,FW,23-314,80,0,0,0,0,,,1,0,,,,,,,0,,
Morgan Andrews,25.0,us USA,MF,22-022,10,0,0,0,0,,,0,0,,,,,,,0,,
Natasha Dowie,9.0,eng ENG,FW,28-290,90,0,0,0,0,,,0,0,,,,,,,0,,
Adriana Leon,19.0,ca CAN,LM,24-196,70,0,0,0,0,,,0,0,,,,,,,0,,
Tiffany Weimer,71.0,us USA,FW,33-132,20,0,0,0,0,,,0,0,,,,,,,0,,
Angela Salem,26.0,us USA,CM,28-266,90,0,0,0,0,,,0,0,,,,,,,0,,
Amanda DaCosta,5.0,pt POR,CM,27-191,62,0,0,0,0,,,0,0,,,,,,,0,,
Ifeoma Onumonu,22.0,ng NGA,FW,23-050,28,0,0,0,0,,,0,0,,,,,,,0,,
Rose Lavelle,11.0,us USA,RM,21-337,90,0,0,0,0,,,0,0,,,,,,,0,,
Allysha Chapman,2.0,ca CAN,LB,28-081,90,0,0,0,0,,,1,0,,,,,,,0,,
Christen Westphal,20.0,us USA,CB,23-226,90,0,0,0,0,,,0,0,,,,,,,0,,
Megan Oyster,4.0,us USA,CB,24-225,90,0,0,0,0,,,0,0,,,,,,,0,,
Margaret Purce,21.0,us USA,RB,21-210,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Smith,14.0,us USA,GK,23-194,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,0,0,0,0,,,2,0,,,,,,,0,,
