Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sam Kerr,20.0,au AUS,FW,23-358,90,0,0,0,0,,,0,0,,,,,,,0,,
Maya Hayes,5.0,us USA,FW,25-161,90,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Woldmoe,16.0,us USA,AM,25-038,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Lytle,6.0,us USA,DM,28-156,90,0,1,0,0,,,0,0,,,,,,,0,,
Kelley O'Hara,19.0,us USA,DM,29-030,90,0,0,0,0,,,0,0,,,,,,,0,,
Daphne Corboz,10.0,us USA,DM,24-081,64,0,0,0,0,,,0,0,,,,,,,0,,
Madison Tiernan,73.0,us USA,MF,22-062,26,1,0,0,0,,,0,0,,,,,,,0,,
Erica Skroski,8.0,us USA,LB,23-201,90,0,0,0,0,,,0,0,,,,,,,0,,
Mandy Freeman,22.0,us USA,CB,22-164,90,0,0,0,0,,,0,0,,,,,,,0,,
Domi Richardson,17.0,us USA,CB,24-320,90,0,0,0,0,,,0,0,,,,,,,0,,
Kayla Mills,15.0,us USA,RB,21-299,59,0,0,0,0,,,0,0,,,,,,,0,,
Cassidy Benintente,4.0,us USA,DF,,31,0,0,0,0,,,0,0,,,,,,,0,,
Kailen Sheridan,1.0,ca CAN,GK,22-049,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,1,0,0,,,0,0,,,,,,,0,,
