Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Andressinha,17.0,br BRA,MF,21-118,90,0.0,0.0,,,3.0,1.0,,,0,2,0.0,,,,,,
Amber Brooks,12.0,us USA,"DF,MF",25-217,90,0.0,0.0,,,1.0,0.0,,,1,1,0.0,,,,,,
Morgan Gautrat,6.0,us USA,MF,23-183,68,0.0,0.0,,,0.0,0.0,,,0,2,1.0,,,,,,
Rachel Daly,3.0,eng ENG,"DF,FW",24-265,22,0.0,0.0,,,2.0,0.0,,,2,1,0.0,,,,,,
Rebecca Moros,4.0,us USA,"DF,FW",31-113,90,0.0,1.0,,,1.0,1.0,,,1,0,0.0,,,,,,
Denise O'Sullivan,13.0,ie IRL,"FW,MF",22-205,90,1.0,0.0,,,2.0,1.0,,,0,1,0.0,,,,,,
Poliana,2.0,br BRA,DF,25-203,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Cami Privett,23.0,us USA,MF,23-164,90,0.0,0.0,,,1.0,0.0,,,0,1,0.0,,,,,,
Cari Roccaro,5.0,us USA,"DF,MF",22-040,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Janine Sonis,11.0,ca CAN,"FW,MF",22-007,89,0.0,0.0,,,2.0,0.0,,,1,1,0.0,,,,,,
Stephanie Ochs,22.0,us USA,FW,25-364,1,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Kealia Watt,7.0,us USA,"FW,MF",24-209,90,1.0,0.0,,,2.0,2.0,,,0,0,1.0,,,,,,
Lydia Williams,18.0,au AUS,GK,28-106,90,,,,,,,,,0,0,,,,,,,
13 Players,,,,,990,2.0,1.0,,,14.0,5.0,,,7,9,2.0,,,,,,
