Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,13.0,us USA,"DF,MF",26-317,90,0,2,0,0,2,2,0,0,0,0,0,0,,,,,
Nicole Barnhart,18.0,us USA,GK,31-263,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jen Buczkowski,6.0,us USA,"DF,MF",28-087,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Melissa Henderson,2.0,us USA,"FW,MF",23-311,82,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Renae Cuéllar,10.0,mx MEX,FW,23-006,8,0,0,0,0,1,1,0,0,0,0,0,0,,,,,
Lauren Holiday,12.0,us USA,"FW,MF",25-273,90,1,0,0,0,4,3,0,0,1,0,0,0,,,,,
Courtney Jones,8.0,us USA,"DF,FW",23-040,45,0,0,0,0,2,2,0,0,0,1,0,0,,,,,
Merritt Mathias,9.0,us USA,"DF,MF",22-363,45,1,0,0,0,1,1,0,0,0,1,0,0,,,,,
Kristie Mewis,19.0,us USA,"DF,MF",22-125,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Becky Sauerbrunn,4.0,us USA,DF,28-024,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Desiree Scott,11.0,ca CAN,MF,25-334,90,0,0,0,0,1,0,0,0,2,0,0,0,,,,,
Lauren Sesselmann,14.0,ca CAN,"DF,FW",29-320,90,0,0,0,0,0,0,0,0,2,0,0,0,,,,,
Erika Tymrak,15.0,us USA,"FW,MF",21-327,90,0,0,0,0,1,0,0,0,0,3,0,0,,,,,
13 Players,,,,,990,2,2,0,0,12,9,0,0,6,5,0,0,,,,,
