Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Marian Dougherty,2.0,us USA,DF,28-217,90,0,0,0,0,0,0,0,0,2,0,0,0,,,,,
Karina LeBlanc,1.0,ca CAN,GK,33-092,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Allie Long,10.0,us USA,"FW,MF",25-321,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Nikki Marshall,7.0,us USA,"DF,FW",25-028,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Alex Morgan,13.0,us USA,FW,23-363,90,0,0,0,0,3,1,0,0,0,2,1,0,,,,,
Christine Sinclair,12.0,ca CAN,"FW,MF",30-018,90,0,0,0,0,4,4,0,0,0,0,0,0,,,,,
Rachel Van Hollebeke,16.0,us USA,DF,27-308,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Nikki Washington,21.0,us USA,"FW,MF",24-333,61,0,0,0,0,0,0,0,0,1,1,0,0,,,,,
Angie Kerr,8.0,us USA,"FW,MF",28-093,29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Tiffany Weimer,19.0,us USA,FW,29-207,45,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Danielle Foxhoven,9.0,us USA,"FW,MF",23-233,45,0,0,0,0,2,1,0,0,0,0,0,0,,,,,
Courtney Wetzel,20.0,us USA,"DF,MF",24-125,71,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Meleana Shim,6.0,us USA,MF,21-278,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kat Williamson,5.0,us USA,DF,23-333,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
14 Players,,,,,990,0,0,0,0,9,6,0,0,5,6,1,0,,,,,
