Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,,us USA,DF,24-331,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Stephanie Cox,,us USA,DF,28-024,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Jess Fishlock,,wls WAL,MF,27-103,87,0,0,0,0,3,0,0,0,2,3,,,,,0,,
Kate Deines,,us USA,"DF,MF",24-222,3,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kendall Fletcher,,us USA,"DF,MF",29-172,90,0,0,0,0,1,1,0,0,2,0,,,,,0,,
Nahomi Kawasumi,,jp JPN,"FW,MF",28-216,90,0,0,0,0,3,1,0,0,0,0,,,,,0,,
Sydney Leroux,,us USA,"FW,MF",23-355,90,0,0,0,0,3,0,0,0,0,2,,,,,0,,
Kim Little,,sct SCO,"FW,MF",23-302,90,2,0,1,1,3,2,0,0,1,1,,,,,0,,
Elli Reed,,us USA,"DF,MF",24-260,90,0,0,0,0,0,0,1,0,2,1,,,,,0,,
Hope Solo,,us USA,GK,32-271,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Keelin Winters,,us USA,MF,25-139,90,0,0,0,0,1,1,1,0,2,0,,,,,0,,
Beverly Yanez,,us USA,"FW,MF",25-282,70,0,1,0,0,3,1,0,0,1,1,,,,,0,,
Danielle Foxhoven,,us USA,"FW,MF",24-169,20,0,0,0,0,0,0,0,0,1,1,,,,,0,,
13 Players,,,,,990,2,1,1,1,17,6,2,0,12,10,,,,,0,,
