Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Amber Brooks,12.0,us USA,"DF,MF",25-182,90,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Ellie Brush,8.0,au AUS,DF,27-339,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Megan Crosson,25.0,,DF,22-071,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Rachel Daly,3.0,eng ENG,"DF,FW",24-230,90,1.0,0.0,,,2.0,1.0,,,1,2,0.0,,,,,,
Bianca Henninger,1.0,mx MEX,GK,25-275,90,,,,,,,,,0,0,,,,,,,
Denise O'Sullivan,13.0,ie IRL,"FW,MF",22-170,90,0.0,0.0,,,1.0,0.0,,,0,1,0.0,,,,,,
Stephanie Ochs,22.0,us USA,FW,25-329,80,0.0,0.0,,,0.0,0.0,,,0,2,1.0,,,,,,
Tessa Florio-Gavilsky,19.0,us USA,FW,27-003,10,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Cami Privett,23.0,us USA,MF,23-129,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Cari Roccaro,5.0,us USA,"DF,MF",22-005,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Chioma Ubogagu,9.0,eng ENG,"FW,MF",23-317,65,0.0,0.0,,,1.0,0.0,,,2,1,0.0,,,,,,
Melissa Henderson,21.0,us USA,"FW,MF",26-335,25,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Kealia Watt,7.0,us USA,"FW,MF",24-174,90,0.0,1.0,,,2.0,1.0,,,1,0,0.0,,,,,,
13 Players,,,,,990,1.0,1.0,,,6.0,2.0,,,10,8,1.0,,,,,,
