Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Michelle Betos,18.0,us USA,GK,28-147,90,,,,,,,,,0,0,,,,,,,
Celeste Boureille,30.0,us USA,"DF,MF",22-087,90,0.0,0.0,,,1.0,0.0,,,1,1,0.0,,,,,,
Maureen Fitzgerald,27.0,,,,44,0.0,0.0,,,0.0,0.0,,,0,2,0.0,,,,,,
Shade Pratt,29.0,us USA,DF,23-105,46,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Emily Menges,4.0,us USA,DF,23-354,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Nadia Nadim,9.0,dk DEN,"FW,MF",28-196,90,0.0,0.0,,,0.0,0.0,,,2,2,0.0,,,,,,
Hayley Raso,21.0,au AUS,"FW,MF",21-315,90,0.0,0.0,,,2.0,1.0,,,6,1,0.0,,,,,,
Katherine Reynolds,2.0,us USA,DF,28-306,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Meleana Shim,6.0,us USA,MF,24-295,90,0.0,0.0,,,3.0,0.0,,,1,0,0.0,,,,,,
Jennifer Skogerboe,22.0,us USA,MF,24-038,86,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
McKenzie Berryhill,20.0,us USA,DF,23-114,4,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Mallory Weber,26.0,us USA,"DF,FW",22-103,90,0.0,0.0,,,2.0,0.0,,,3,0,0.0,,,,,,
Kat Williamson,5.0,us USA,DF,26-350,44,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Sam Lofton,32.0,us USA,DF,24-078,46,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
14 Players,,,,,990,0.0,0.0,,,8.0,1.0,,,15,9,0.0,,,,,,
