Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,,us USA,"DF,MF",27-354,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Nicole Barnhart,,us USA,GK,32-300,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Jen Buczkowski,,us USA,"DF,MF",29-124,45,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Sarah Hagen,,us USA,FW,24-261,45,1,0,0,0,1,1,0,0,0,0,,,,,0,,
Lauren Holiday,,us USA,"FW,MF",26-310,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kassey Kallman,,us USA,DF,22-092,45,0,0,0,0,0,0,0,0,3,0,,,,,0,,
Nikki Phillips,,pl POL,"DF,MF",27-075,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Jenna Richmond,,us USA,MF,22-231,45,0,1,0,0,0,0,0,0,0,0,,,,,0,,
Amy Rodriguez,,us USA,"FW,MF",27-170,45,1,1,0,0,1,1,0,0,0,0,,,,,0,,
Becky Sauerbrunn,,us USA,DF,29-061,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Erika Tymrak,,us USA,"FW,MF",22-364,45,0,0,0,0,1,1,0,0,0,0,,,,,0,,
11 Players,,,,,495,2,2,0,0,3,3,0,0,3,1,,,,,0,,
