Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danesha Adams,,us USA,"FW,MF",28-054,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Lisa De Vanna,,au AUS,FW,29-258,45,0,2,0,0,2,2,0,0,1,2,,,,,0,,
Niki Cross,,us USA,DF,29-061,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Crystal Dunn,,us USA,"DF,MF",22-027,90,0,0,0,0,1,0,0,0,1,0,,,,,0,,
Kerstin Garefrekes,,de GER,"FW,MF",34-329,90,1,0,0,0,3,1,0,0,1,0,,,,,0,,
Ashlyn Harris,,us USA,GK,28-284,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Tori Huster,,us USA,"DF,MF",24-310,90,0,0,0,0,1,0,0,0,0,1,,,,,0,,
Ali Krieger,,us USA,"DF,MF",30-002,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Lori Lindsey,,us USA,MF,34-133,73,0,0,0,0,2,1,0,0,0,0,,,,,0,,
Yael Averbuch,,us USA,"DF,MF",27-269,17,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Diana Matheson,,ca CAN,MF,30-115,90,0,0,0,0,3,2,0,0,0,0,,,,,0,,
Christine Nairn,,us USA,MF,23-308,87,1,0,0,0,4,1,0,0,0,2,,,,,0,,
Jordan Angeli,,us USA,"DF,FW",28-060,3,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Alex Singer,,us USA,DF,26-254,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
14 Players,,,,,990,2,2,0,0,16,7,0,0,4,7,,,,,0,,
