Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Alex Morgan,13.0,us USA,FW,28-300,90,0,0,0,0,,,0,0,,,,,,,0,,
Chioma Ubogagu,6.0,eng ENG,AM,25-230,45,0,0,0,0,,,0,0,,,,,,,0,,
Emily van Egmond,5.0,au AUS,MF,24-290,45,0,0,0,0,,,0,0,,,,,,,0,,
Marta,10.0,br BRA,AM,32-068,90,1,0,0,0,,,0,0,,,,,,,0,,
Sydney Leroux,2.0,us USA,AM,27-356,90,0,0,0,0,,,0,0,,,,,,,0,,
Christine Nairn,7.0,us USA,DM,27-215,73,0,0,0,0,,,0,0,,,,,,,0,,
Dani Weatherholt,17.0,us USA,MF,24-042,17,0,0,0,0,,,0,0,,,,,,,0,,
Alanna Kennedy,14.0,au AUS,DM,23-097,90,0,0,0,0,,,0,0,,,,,,,0,,
Toni Pressley,3.0,us USA,LB,28-068,81,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Hill,15.0,us USA,"FW,MF",23-011,9,0,0,0,0,,,0,0,,,,,,,0,,
Shelina Zadorsky,4.0,ca CAN,CB,25-186,90,0,0,0,0,,,0,0,,,,,,,0,,
Mônica,21.0,br BRA,CB,40-024,90,0,0,0,0,,,0,0,,,,,,,0,,
Ali Krieger,11.0,us USA,RB,33-274,90,0,0,0,0,,,0,0,,,,,,,0,,
Ashlyn Harris,24.0,us USA,GK,32-191,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,0,0,0,,,0,0,,,,,,,0,,
