Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sonja Fuss,22.0,de GER,DF,34-286,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Inka Grings,21.0,de GER,FW,34-291,90,0,1,0,0,1,1,1,0,3,0,0,0,,,,,
Jen Hoy,2.0,us USA,"FW,MF",22-212,90,2,0,0,0,5,3,0,0,1,0,0,0,,,,,
Adriana Leon,16.0,ca CAN,"FW,MF",20-320,45,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Lydia Vandenbergh,13.0,au AUS,"DF,MF",29-228,36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Maribel Domínguez,9.0,mx MEX,FW,34-273,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Michelle Lomnicki,23.0,us USA,DF,26-107,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Alyssa Mautz,4.0,us USA,"FW,MF",24-020,68,0,0,0,0,2,1,0,0,0,0,0,0,,,,,
Ella Masar,3.0,us USA,FW,27-137,22,0,0,0,0,1,0,0,0,1,0,0,0,,,,,
Erin McLeod,1.0,ca CAN,GK,30-173,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Leslie Osborne,12.0,us USA,MF,30-083,90,0,0,0,0,0,0,0,0,3,1,0,0,,,,,
Rachel Quon,11.0,ca CAN,DF,22-089,90,0,0,0,0,0,0,0,0,2,0,0,0,,,,,
Jackie Santacaterina,18.0,us USA,DF,25-232,90,0,0,0,0,0,0,1,0,1,0,0,0,,,,,
Julianne Sitch,19.0,us USA,"DF,MF",29-334,90,0,1,0,0,1,0,0,0,2,1,1,0,,,,,
14 Players,,,,,990,2,2,0,0,11,5,2,0,13,3,1,0,,,,,
