Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Jo Dragotta,,us USA,"DF,MF",22-062,85,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Lisa-Marie Woods,,no NOR,MF,28-326,5,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Sydney Leroux,,us USA,"FW,MF",22-342,90,1,0,0,0,4,2,0,0,0,0,0,1,,,,,
Joanna Lohman,,us USA,"DF,MF",30-292,90,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Kia McNeill,,us USA,DF,26-334,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Heather O'Reilly,,us USA,"FW,MF",28-102,90,0,0,0,0,2,2,0,0,2,0,0,1,,,,,
Ashley Phillips,,us USA,GK,27-052,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lianne Sanderson,,eng ENG,FW,25-070,90,0,0,0,0,4,0,0,0,0,2,0,0,,,,,
Katie Schoepfer,,us USA,FW,24-155,90,0,0,0,0,3,1,0,0,0,0,0,0,,,,,
Kyah Simon,,au AUS,"FW,MF",21-293,74,0,0,0,0,3,2,0,0,0,1,1,0,,,,,
Elizabeth Guess,,us USA,"FW,MF",28-093,16,0,1,0,0,0,0,0,0,0,0,0,1,,,,,
Cat Whitehill,,us USA,DF,31-063,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Rhian Wilkinson,,ca CAN,"DF,FW",30-337,90,0,0,0,0,0,0,0,0,2,0,0,0,,,,,
13 Players,,,,,990,1,1,0,0,18,7,0,0,5,3,1,3,,,,,
