Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Robyn Gayle,,ca CAN,DF,27-165,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Ashlyn Harris,,us USA,GK,27-177,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Tori Huster,23.0,us USA,"DF,MF",23-203,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Ali Krieger,,us USA,"DF,MF",28-260,90,0,0,0,0,1,0,0,0,0,0,0,1,,,,,
Lori Lindsey,,us USA,MF,33-026,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Diana Matheson,,ca CAN,MF,29-008,90,0,0,0,0,2,0,0,0,0,1,0,0,,,,,
Tiffany McCarty,,us USA,FW,22-121,84,1,0,0,0,4,1,0,0,1,0,0,0,,,,,
Caroline Miller,,us USA,FW,21-272,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Stephanie Ochs,,us USA,FW,22-228,90,0,1,0,0,3,3,0,0,0,2,0,1,,,,,
Julia Roberts,,us USA,MF,22-066,90,0,0,0,0,0,0,0,0,1,0,1,0,,,,,
Kika Toulouse,,us USA,DF,23-346,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Ingrid Wells,,us USA,MF,24-016,79,0,0,0,0,0,0,1,0,0,0,0,0,,,,,
Domenica Hodak,,us USA,DF,21-237,11,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
13 Players,,,,,990,1,1,0,0,10,4,1,0,3,5,1,2,,,,,
