Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Kelley O'Hara,19.0,us USA,FW,28-254,90,0,0,0,0,,,0,0,,,,,,,0,,
Sam Kerr,20.0,au AUS,FW,23-217,90,0,0,0,0,,,0,0,,,,,,,0,,
Leah Galton,21.0,eng ENG,LM,22-326,82,0,0,0,0,,,0,0,,,,,,,0,,
Maya Hayes,5.0,us USA,FW,25-020,8,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Woldmoe,16.0,us USA,CM,24-262,90,1,0,1,1,,,0,0,,,,,,,0,,
Raquel Rodríguez,11.0,cr CRC,CM,23-169,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Lytle,6.0,us USA,RM,28-015,72,0,0,0,0,,,0,0,,,,,,,0,,
Daphne Corboz,10.0,us USA,MF,23-305,18,0,0,0,0,,,0,0,,,,,,,0,,
Erica Skroski,8.0,us USA,LB,23-060,90,0,0,0,0,,,0,0,,,,,,,0,,
Mandy Freeman,22.0,us USA,CB,22-023,90,0,0,0,0,,,0,0,,,,,,,0,,
Christie Pearce,3.0,us USA,CB,41-295,90,0,0,0,0,,,0,0,,,,,,,0,,
Kayla Mills,15.0,us USA,RB,21-158,90,0,0,0,0,,,0,0,,,,,,,0,,
Kailen Sheridan,1.0,ca CAN,GK,21-273,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,0,1,1,,,0,0,,,,,,,0,,
