Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danielle Colaprico,24.0,us USA,MF,23-016,90,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Amanda DaCosta,13.0,pt POR,MF,26-228,66,0.0,0.0,,,0.0,0.0,,,3,1,0.0,,,,,,
Taylor Comeau,7.0,us USA,DF,22-306,24,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Vanessa DiBernardo,10.0,us USA,MF,24-007,90,0.0,1.0,,,1.0,1.0,,,0,1,0.0,,,,,,
Julie Ertz,8.0,us USA,"DF,MF",24-046,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Jen Hoy,2.0,us USA,"FW,MF",25-125,89,2.0,0.0,,,2.0,2.0,,,0,0,2.0,,,,,,
Courtney Raetzman,15.0,us USA,MF,22-043,1,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Sofia Huerta,11.0,us USA,"DF,FW",23-160,90,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Samantha Johnson,16.0,us USA,"DF,MF",24-347,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Casey Krueger,6.0,us USA,DF,25-273,90,0.0,0.0,,,1.0,1.0,,,0,1,0.0,,,,,,
Alyssa Naeher,1.0,us USA,GK,28-032,90,,,,,,,,,0,0,,,,,,,
Christen Press,23.0,us USA,FW,27-145,90,0.0,0.0,,,5.0,2.0,,,1,2,1.0,,,,,,
Arin Wright,3.0,us USA,"DF,MF",23-149,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
13 Players,,,,,990,2.0,1.0,,,10.0,6.0,,,8,5,3.0,,,,,,
