Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Ana-Maria Crnogorčević,7.0,ch SUI,FW,27-285,89,1,0,0,0,,,0,0,,,,,,,0,,
Mallory Weber,26.0,us USA,"DF,FW",24-102,1,0,0,0,0,,,0,0,,,,,,,0,,
Tobin Heath,17.0,us USA,AM,30-047,90,0,0,0,0,,,0,0,,,,,,,0,,
Hayley Raso,21.0,au AUS,AM,23-313,82,0,1,0,0,,,0,0,,,,,,,0,,
Tyler Lussi,34.0,us USA,"FW,MF",23-170,8,0,0,0,0,,,0,0,,,,,,,0,,
Christine Sinclair,12.0,ca CAN,AM,35-033,90,0,0,0,0,,,0,0,,,,,,,0,,
Lindsey Heaps,10.0,us USA,DM,24-050,90,2,0,0,0,,,0,0,,,,,,,0,,
Celeste Boureille,30.0,us USA,DM,24-086,90,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Klingenberg,25.0,us USA,LB,29-347,65,0,0,0,0,,,0,0,,,,,,,0,,
Katherine Reynolds,2.0,us USA,DF,30-304,25,0,0,0,0,,,0,0,,,,,,,0,,
Emily Menges,4.0,us USA,CB,25-352,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Sonnett,16.0,us USA,CB,24-232,90,0,1,0,0,,,0,0,,,,,,,0,,
Ellie Carpenter,15.0,au AUS,RB,18-078,90,0,0,0,0,,,0,0,,,,,,,0,,
Adrianna Franch,24.0,us USA,GK,27-245,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,3,2,0,0,,,0,0,,,,,,,0,,
