Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Yael Averbuch,10.0,us USA,"DF,MF",29-256,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Nicole Barnhart,18.0,us USA,GK,34-280,90,,,,,,,,,0,0,,,,,,,
Katie Bowen,21.0,nz NZL,"DF,MF",22-092,90,0.0,0.0,,,0.0,0.0,,,4,3,0.0,,,,,,
Shea Groom,2.0,us USA,"FW,MF",23-134,90,1.0,0.0,,,4.0,2.0,,,3,1,0.0,,,,,,
Brittany Kolmel,13.0,us USA,DF,28-302,90,0.0,0.0,,,3.0,1.0,,,1,0,0.0,,,,,,
Lo'eau LaBonta,1.0,us USA,MF,23-120,90,0.0,0.0,,,3.0,1.0,,,2,0,0.0,,,,,,
Mandy Laddish,7.0,us USA,MF,24-064,90,0.0,0.0,,,2.0,2.0,,,2,0,0.0,,,,,,
Tiffany McCarty,20.0,us USA,FW,25-215,82,0.0,0.0,,,1.0,0.0,,,2,2,2.0,,,,,,
Caroline Kastor,23.0,us USA,FW,24-278,8,0.0,1.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Brianne Reed,22.0,do DOM,DF,22-162,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Frances Silva,11.0,us USA,"FW,MF",23-248,82,1.0,0.0,,,3.0,1.0,,,1,3,1.0,,,,,,
Tiffany Weimer,16.0,us USA,FW,32-224,8,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Erika Tymrak,15.0,us USA,"FW,MF",24-344,90,0.0,1.0,,,2.0,0.0,,,0,0,0.0,,,,,,
13 Players,,,,,990,2.0,2.0,,,18.0,7.0,,,16,10,3.0,,,,,,
