Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lindsay Elston,6.0,us USA,FW,25-108,45,0,0,0,0,,,0,0,,,,,,,0,,
Katie Johnson,33.0,mx MEX,"FW,MF",22-336,45,1,0,0,0,,,0,0,,,,,,,0,,
Kiersten Dallstream,5.0,us USA,AM,29-164,67,0,0,0,0,,,0,0,,,,,,,0,,
Merritt Mathias,9.0,us USA,"DF,MF",27-045,23,0,1,0,0,,,0,0,,,,,,,0,,
Nahomi Kawasumi,36.0,jp JPN,AM,31-327,90,1,0,0,0,,,0,0,,,,,,,0,,
Christine Nairn,2.0,us USA,AM,26-325,75,0,0,0,0,,,1,0,,,,,,,0,,
Larissa Crummer,18.0,au AUS,FW,21-218,15,0,0,0,0,,,0,0,,,,,,,0,,
Rumi Utsugi,20.0,jp JPN,DM,28-254,90,0,1,0,0,,,0,0,,,,,,,0,,
Jess Fishlock,10.0,wls WAL,DM,30-214,90,0,0,0,0,,,0,0,,,,,,,0,,
Carson Pickett,16.0,us USA,LB,23-335,90,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Barnes,3.0,us USA,CB,28-077,90,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Corsie,4.0,sct SCO,CB,27-364,90,0,0,0,0,,,0,0,,,,,,,0,,
Rebekah Stott,13.0,nz NZL,RB,24-060,90,0,0,0,0,,,0,0,,,,,,,0,,
Haley Kopmeyer,28.0,us USA,GK,27-049,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,2,0,0,,,1,0,,,,,,,0,,
