Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Eunice Beckmann,27.0,de GER,FW,24-123,67,0.0,0.0,,,1.0,0.0,,,1,1,0.0,,,,,,
Kyah Simon,17.0,au AUS,"FW,MF",24-351,23,0.0,0.0,,,0.0,0.0,,,0,0,1.0,,,,,,
Brooke Elby,23.0,us USA,MF,23-017,84,0.0,0.0,,,1.0,0.0,,,0,1,0.0,,,,,,
Christen Westphal,21.0,us USA,DF,22-282,6,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Whitney Engen,4.0,us USA,DF,28-195,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Kassey Kallman,5.0,us USA,DF,24-035,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Julie King,8.0,us USA,DF,26-233,90,0.0,0.0,,,1.0,0.0,,,2,0,0.0,,,,,,
Stephanie McCaffrey,9.0,us USA,FW,23-113,82,0.0,0.0,,,1.0,0.0,,,4,1,0.0,,,,,,
Brittany Ratcliffe,11.0,us USA,"FW,MF",22-124,8,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Mollie Pathman,20.0,us USA,"FW,MF",23-345,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Angela Salem,26.0,us USA,"FW,MF",27-322,90,0.0,0.0,,,2.0,1.0,,,0,0,0.0,,,,,,
Louise Schillgard,10.0,se SWE,MF,26-231,90,1.0,0.0,,,1.0,1.0,,,0,0,1.0,,,,,,
Libby Stout,1.0,us USA,GK,25-360,90,,,,,,,,,0,0,,,,,,,
McCall Zerboni,77.0,us USA,MF,29-180,90,0.0,0.0,,,0.0,0.0,0.0,0.0,2,2,0.0,,,,,,
14 Players,,,,,990,1.0,0.0,,,7.0,2.0,0.0,0.0,9,6,2.0,,,,,,
