Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Crystal Dunn,19.0,us USA,"DF,MF",23-343,90,0.0,0.0,,,2.0,0.0,,,0,0,2.0,,,,,,
Cali Farquharson,17.0,us USA,FW,22-176,61,0.0,0.0,,,1.0,0.0,,,1,0,0.0,,,,,,
Estefanía Banini,10.0,ar ARG,"FW,MF",25-355,29,0.0,0.0,,,2.0,2.0,,,0,0,0.0,,,,,,
Tori Huster,23.0,us USA,"DF,MF",26-261,90,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Alyssa Kleiner,22.0,us USA,DF,23-070,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Ali Krieger,11.0,us USA,"DF,MF",31-318,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Joanna Lohman,15.0,us USA,"DF,MF",33-350,81,0.0,0.0,,,2.0,0.0,,,2,2,0.0,,,,,,
Cheyna Matthews,20.0,jm JAM,FW,22-213,9,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Christine Nairn,7.0,us USA,MF,25-259,90,0.0,0.0,,,3.0,1.0,,,0,2,0.0,,,,,,
Megan Oyster,4.0,us USA,DF,23-281,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Katie Stengel,,us USA,"FW,MF",24-102,69,1.0,0.0,,,2.0,1.0,,,0,0,4.0,,,,,,
Francisca Ordega,14.0,ng NGA,"FW,MF",22-235,22,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Kelsey Wys,18.0,us USA,GK,25-127,90,,,,,,,,,0,0,,,,,,,
Shelina Zadorsky,6.0,ca CAN,DF,23-230,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
14 Players,,,,,991,1.0,0.0,,,13.0,4.0,,,6,8,6.0,,,,,,
