Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,3.0,us USA,DF,27-032,90,0.0,0.0,,,1.0,0.0,,,0,1,0.0,,,,,,
Rachel Corsie,4.0,sct SCO,"DF,MF",26-320,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Jess Fishlock,10.0,wls WAL,MF,29-170,90,0.0,0.0,,,1.0,1.0,,,1,1,0.0,,,,,,
Kendall Fletcher,13.0,us USA,"DF,MF",31-239,90,0.0,0.0,,,1.0,0.0,,,0,2,1.0,,,,,,
Nahomi Kawasumi,36.0,jp JPN,"FW,MF",30-283,90,2.0,0.0,,,3.0,3.0,,,0,1,2.0,,,,,,
Haley Kopmeyer,28.0,us USA,GK,26-004,90,,,,,,,,,0,0,,,,,,,
Kim Little,8.0,sct SCO,"FW,MF",26-003,90,0.0,0.0,,,3.0,1.0,,,1,0,1.0,,,,,,
Manon Melis,14.0,nl NED,"FW,MF",29-306,69,0.0,0.0,,,0.0,0.0,,,2,1,0.0,,,,,,
Lindsay Elston,6.0,us USA,"FW,MF",24-063,21,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Elli Reed,7.0,us USA,"DF,MF",26-327,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Keelin Winters,11.0,us USA,MF,27-206,86,0.0,1.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Michelle Cruz,21.0,us USA,DF,24-049,4,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Beverly Yanez,17.0,us USA,"FW,MF",27-349,90,0.0,0.0,,,1.0,1.0,,,1,0,1.0,,,,,,
13 Players,,,,,990,2.0,1.0,,,10.0,6.0,,,6,9,5.0,,,,,,
