Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Cali Farquharson,17.0,us USA,FW,23-287,62,0,0,0,0,,,0,0,,,,,,,0,,
Cheyna Matthews,20.0,jm JAM,FW,23-324,28,0,0,0,0,,,0,0,,,,,,,0,,
Mallory Swanson,11.0,us USA,FW,19-154,90,2,0,0,0,,,0,0,,,,,,,0,,
Havana Solaun,9.0,jm JAM,FW,24-219,80,0,1,0,0,,,0,0,,,,,,,0,,
Lindsay Agnew,8.0,ca CAN,FW,22-183,10,0,0,0,0,,,0,0,,,,,,,0,,
Tori Huster,23.0,us USA,CM,28-007,90,0,0,0,0,,,0,0,,,,,,,0,,
Morgan Proffitt,12.0,us USA,CM,23-039,90,0,0,0,0,,,0,0,,,,,,,0,,
Meggie Dougherty Howard,29.0,us USA,CM,22-065,90,0,1,0,0,,,0,0,,,,,,,0,,
Kassey Kallman,6.0,us USA,LB,25-147,90,0,0,0,0,,,0,0,,,,,,,0,,
Shelina Zadorsky,4.0,ca CAN,CB,24-341,90,0,0,0,0,,,0,0,,,,,,,0,,
Whitney Church,5.0,us USA,CB,24-153,90,0,0,0,0,,,0,0,,,,,,,0,,
Caprice Dydasco,3.0,us USA,RB,24-042,90,0,0,0,0,,,0,0,,,,,,,0,,
DiDi Haracic,21.0,ba BIH,GK,25-171,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,2,2,0,0,,,0,0,,,,,,,0,,
