Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,3.0,us USA,DF,27-096,90,1.0,0.0,,,1.0,1.0,,,0,0,0.0,,,,,,
Jess Fishlock,10.0,wls WAL,MF,29-234,90,0.0,0.0,,,1.0,1.0,,,0,2,0.0,,,,,,
Kendall Fletcher,13.0,us USA,"DF,MF",31-303,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Nahomi Kawasumi,36.0,jp JPN,"FW,MF",30-347,90,0.0,0.0,,,0.0,0.0,,,0,1,1.0,,,,,,
Haley Kopmeyer,28.0,us USA,GK,26-068,90,,,,,,,,,0,0,,,,,,,
Kim Little,8.0,sct SCO,"FW,MF",26-067,90,0.0,0.0,,,1.0,0.0,,,3,0,0.0,,,,,,
Merritt Mathias,9.0,us USA,"DF,MF",26-064,90,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Manon Melis,14.0,nl NED,"FW,MF",30-004,68,1.0,0.0,,,2.0,2.0,,,0,0,0.0,,,,,,
Megan Rapinoe,15.0,us USA,"FW,MF",31-061,22,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Rumi Utsugi,20.0,jp JPN,MF,27-274,90,0.0,0.0,,,2.0,0.0,,,0,1,0.0,,,,,,
Keelin Winters,11.0,us USA,MF,27-270,90,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Beverly Yanez,,us USA,"FW,MF",28-047,84,0.0,1.0,,,3.0,2.0,,,0,0,0.0,,,,,,
Carson Pickett,16.0,us USA,DF,22-355,7,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
13 Players,,,,,991,2.0,1.0,,,11.0,6.0,,,7,4,1.0,,,,,,
