Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danielle Foxhoven,9.0,us USA,"FW,MF",23-271,60,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,,,,,
Courtney Wetzel,20.0,us USA,"DF,MF",24-163,30,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,,,
Tobin Heath,17.0,us USA,"FW,MF",25-070,90,0,0,0.0,0.0,1,0,0,0,3,0,0,0.0,,,,,
Karina LeBlanc,1.0,ca CAN,GK,33-130,90,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,,,
Allie Long,10.0,us USA,"FW,MF",25-359,90,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,,,,,
Nikki Marshall,7.0,us USA,"DF,FW",25-066,90,0,0,0.0,0.0,1,1,0,0,1,2,0,0.0,,,,,
Alex Morgan,13.0,us USA,FW,24-036,12,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,,,
Tiffany Weimer,19.0,us USA,FW,29-245,78,1,0,0.0,0.0,5,4,0,0,0,0,1,0.0,,,,,
Casey Ramirez,15.0,us USA,DF,23-242,90,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,,,
Meleana Shim,6.0,us USA,MF,21-316,85,0,0,0.0,0.0,0,0,0,0,2,0,0,0.0,,,,,
Tina Ellertson,24.0,us USA,DF,31-079,5,0,0,,,0,0,0,0,0,0,0,,,,,,
Christine Sinclair,12.0,ca CAN,"FW,MF",30-056,90,0,0,0.0,0.0,3,2,0,0,0,0,1,0.0,,,,,
Rachel Van Hollebeke,16.0,us USA,DF,27-346,90,0,0,0.0,0.0,0,0,0,0,1,1,0,0.0,,,,,
Kat Williamson,5.0,us USA,DF,24-006,90,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,,,
14 Players,,,,,990,1,0,0.0,0.0,10,7,0,0,7,5,3,0.0,,,,,
