Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Natasha Dowie,9.0,eng ENG,FW,29-085,90,1,0,0,0,,,0,0,,,,,,,0,,
Tiffany Weimer,18.0,us USA,AM,33-292,64,0,0,0,0,,,0,0,,,,,,,0,,
Hayley Dowd,33.0,us USA,FW,23-016,26,0,0,0,0,,,0,0,,,,,,,0,,
Adriana Leon,19.0,ca CAN,AM,24-356,72,1,1,0,0,,,0,0,,,,,,,0,,
Ifeoma Onumonu,22.0,ng NGA,FW,23-210,18,0,0,0,0,,,0,0,,,,,,,0,,
Rosie White,10.0,nz NZL,AM,24-109,90,0,0,0,0,,,1,0,,,,,,,0,,
Angela Salem,26.0,us USA,DM,29-061,90,0,0,0,0,,,0,0,,,,,,,0,,
Brooke Elby,3.0,us USA,DM,24-122,90,0,0,0,0,,,0,0,,,,,,,0,,
Allysha Chapman,2.0,ca CAN,LB,28-241,90,0,0,0,0,,,0,0,,,,,,,0,,
Amanda Frisbie,17.0,us USA,CB,25-117,74,0,0,0,0,,,1,0,,,,,,,0,,
Katie Stengel,23.0,us USA,"FW,MF",25-206,16,0,0,0,0,,,0,0,,,,,,,0,,
Megan Oyster,4.0,us USA,CB,25-020,90,0,0,0,0,,,0,0,,,,,,,0,,
Margaret Purce,21.0,us USA,RB,22-005,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Smith,14.0,us USA,GK,23-354,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,1,0,0,,,2,0,,,,,,,0,,
