Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Cali Farquharson,17.0,us USA,FW,23-280,90,0,0,0,0,,,0,0,,,,,,,0,,
Mallory Swanson,11.0,us USA,FW,19-147,90,0,0,0,0,,,0,0,,,,,,,0,,
Havana Solaun,9.0,jm JAM,FW,24-212,90,0,0,0,0,,,0,0,,,,,,,0,,
Tori Huster,23.0,us USA,CM,28-000,90,0,0,0,0,,,0,0,,,,,,,0,,
Morgan Proffitt,12.0,us USA,CM,23-032,74,0,0,0,0,,,0,0,,,,,,,0,,
Lindsay Agnew,8.0,ca CAN,FW,22-176,16,0,0,0,0,,,0,0,,,,,,,0,,
Meggie Dougherty Howard,29.0,us USA,CM,22-058,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Kleiner,22.0,us USA,LB,24-175,90,0,0,0,0,,,0,0,,,,,,,0,,
Kassey Kallman,6.0,us USA,CB,25-140,90,0,0,0,0,,,0,0,,,,,,,1,,
Shelina Zadorsky,4.0,ca CAN,CB,24-334,90,0,0,0,0,,,0,0,,,,,,,0,,
Caprice Dydasco,3.0,us USA,RB,24-035,90,0,0,0,0,,,0,0,,,,,,,0,,
DiDi Haracic,21.0,ba BIH,GK,25-164,90,0,0,0,0,,,0,0,,,,,,,0,,
12 Players,,,,,990,0,0,0,0,,,0,0,,,,,,,1,,
