Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danielle Colaprico,,us USA,MF,22-031,90,0,0,0,0,,,0,0,,,,,,,0,,
Michele Dalton,,us USA,GK,26-213,90,0,0,0,0,,,0,0,,,,,,,0,,
Vanessa DiBernardo,,us USA,MF,23-022,90,0,1,0,1,,,0,0,,,,,,,0,,
Taryn Hemmings,,us USA,"DF,FW",29-041,90,0,0,0,0,,,0,0,,,,,,,0,,
Sofia Huerta,,us USA,"DF,FW",22-174,90,1,0,0,0,,,0,0,,,,,,,0,,
Samantha Johnson,,us USA,"DF,MF",23-361,90,0,0,0,0,,,0,0,,,,,,,0,,
Michelle Lomnicki,,us USA,DF,28-034,82,0,0,0,0,,,1,0,,,,,,,0,,
Leigh Jakes,,us USA,DF,27-074,8,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Mautz,,us USA,"FW,MF",25-312,68,0,0,0,0,,,0,0,,,,,,,0,,
Mary Luba,,us USA,MF,21-290,22,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Quon,,ca CAN,DF,24-016,78,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Tejada,,,MF,21-333,12,0,0,0,0,,,0,0,,,,,,,0,,
Cara Walls,,us USA,FW,21-355,90,0,0,0,0,,,0,0,,,,,,,0,,
Arin Wright,,us USA,"DF,MF",22-163,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,1,,,1,0,,,,,,,0,,
