Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Arielle Ship,2.0,us USA,FW,22-094,83,1,2,0,0,,,0,0,,,,,,,0,,
Lindsay Agnew,8.0,ca CAN,FW,22-126,7,0,0,0,0,,,0,0,,,,,,,0,,
Kristie Mewis,19.0,us USA,FW,26-160,76,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Kleiner,22.0,us USA,DF,24-125,14,0,0,0,0,,,0,0,,,,,,,0,,
Havana Solaun,9.0,jm JAM,LM,24-162,90,1,1,1,1,,,0,0,,,,,,,0,,
Meggie Dougherty Howard,29.0,us USA,CM,22-008,90,1,0,0,0,,,0,0,,,,,,,0,,
Tori Huster,23.0,us USA,CM,27-315,90,0,0,0,0,,,0,0,,,,,,,0,,
Cheyna Matthews,20.0,jm JAM,RM,23-267,88,1,0,0,0,,,0,0,,,,,,,0,,
Cali Farquharson,17.0,us USA,FW,23-230,2,0,0,0,0,,,0,0,,,,,,,0,,
Caprice Dydasco,3.0,us USA,LB,23-350,90,0,0,0,0,,,0,0,,,,,,,0,,
Kassey Kallman,6.0,us USA,CB,25-090,90,0,0,0,0,,,0,0,,,,,,,0,,
Whitney Church,5.0,us USA,CB,24-096,90,0,0,0,0,,,1,0,,,,,,,0,,
Estelle Johnson,24.0,cm CMR,RB,29-014,90,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie Labbé,1.0,ca CAN,GK,30-298,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,4,3,1,1,,,1,0,,,,,,,0,,
