Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Josée Bélanger,9.0,ca CAN,FW,30-006,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Steph Catley,7.0,au AUS,"DF,MF",22-115,90,0.0,0.0,,,0.0,0.0,,,2,2,0.0,,,,,,
Kristen Edmonds,12.0,us USA,"DF,MF",28-364,90,1.0,0.0,,,3.0,1.0,,,2,1,0.0,,,,,,
Becky Edwards,14.0,us USA,"DF,MF",27-364,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Ashlyn Harris,1.0,us USA,GK,30-214,90,,,,,,,,,0,0,,,,,,,
Kaylyn Kyle,6.0,ca CAN,MF,27-227,55,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Sam Witteman,26.0,us USA,DF,22-084,35,0.0,0.0,,,2.0,0.0,,,0,0,0.0,,,,,,
Mônica,21.0,br BRA,DF,38-046,90,0.0,0.0,,,1.0,1.0,,,0,0,0.0,,,,,,
Alex Morgan,13.0,us USA,FW,26-323,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Toni Pressley,3.0,us USA,DF,26-091,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Lianne Sanderson,10.0,eng ENG,FW,28-107,83,0.0,1.0,,,1.0,0.0,,,1,1,0.0,,,,,,
Maddy Evans,18.0,us USA,"DF,MF",25-029,7,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Jasmyne Spencer,23.0,us USA,"DF,FW",25-267,76,0.0,0.0,,,3.0,2.0,,,0,1,0.0,,,,,,
Jamia Fields,4.0,us USA,FW,22-239,14,0.0,0.0,,,0.0,0.0,,,1,1,1.0,,,,,,
14 Players,,,,,990,1.0,1.0,,,10.0,4.0,,,11,8,1.0,,,,,,
