Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Andressinha,17.0,br BRA,MF,21-019,90,0.0,0.0,,,2.0,0.0,,,1,2,0.0,,,,,,
Allysha Chapman,15.0,ca CAN,DF,27-116,83,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Amber Brooks,12.0,us USA,"DF,MF",25-118,7,0.0,0.0,,,1.0,1.0,,,0,0,0.0,,,,,,
Rachel Daly,3.0,eng ENG,"DF,FW",24-166,90,0.0,0.0,,,1.0,1.0,,,1,1,2.0,,,,,,
Morgan Gautrat,6.0,us USA,MF,23-084,90,0.0,0.0,,,0.0,0.0,,,1,2,0.0,,,,,,
Rebecca Moros,4.0,us USA,"DF,FW",31-014,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Denise O'Sullivan,13.0,ie IRL,"FW,MF",22-106,90,0.0,0.0,,,0.0,0.0,,,0,2,0.0,,,,,,
Poliana,2.0,br BRA,DF,25-104,90,0.0,0.0,,,2.0,0.0,,,0,1,0.0,,,,,,
Cari Roccaro,5.0,us USA,"DF,MF",21-307,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Janine Sonis,11.0,ca CAN,"FW,MF",21-274,56,0.0,0.0,,,0.0,0.0,,,1,1,3.0,,,,,,
Stephanie Ochs,22.0,us USA,FW,25-265,34,0.0,0.0,,,1.0,1.0,,,1,0,0.0,,,,,,
Kealia Watt,7.0,us USA,"FW,MF",24-110,66,0.0,0.0,,,1.0,0.0,,,2,1,2.0,,,,,,
Chioma Ubogagu,9.0,eng ENG,"FW,MF",23-253,24,0.0,0.0,,,1.0,0.0,,,0,0,0.0,,,,,,
Lydia Williams,18.0,au AUS,GK,28-007,90,,,,,,,,,0,0,,,,,,,
14 Players,,,,,990,0.0,0.0,,,9.0,3.0,,,9,11,7.0,,,,,,
