Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Adriana,8.0,es ESP,FW,26-198,86,0,0,0,0,3,1,0,0,1,0,1,0,,,,,
Verónica Pérez,17.0,mx MEX,"DF,MF",25-006,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Adrianna Franch,24.0,us USA,GK,22-193,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Estelle Johnson,12.0,cm CMR,DF,24-307,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Sam Kerr,4.0,au AUS,"FW,MF",19-256,76,0,0,0,0,2,0,0,0,0,1,0,0,,,,,
Sarah Huffman,14.0,us USA,MF,29-080,14,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Brittany Kolmel,13.0,us USA,DF,25-248,90,0,2,0,0,1,0,0,0,2,1,0,0,,,,,
Carli Lloyd,10.0,us USA,"FW,MF",30-312,90,0,0,0,0,6,3,1,0,3,2,0,0,,,,,
Katherine Reynolds,16.0,us USA,DF,25-252,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Alex Sahlen,2.0,us USA,DF,30-241,90,0,0,0,0,1,1,0,0,0,3,0,0,,,,,
Angela Salem,6.0,us USA,"FW,MF",24-304,90,0,0,0,0,0,0,0,0,0,2,0,0,,,,,
Abby Wambach,20.0,us USA,FW,32-356,90,1,0,0,0,1,1,0,0,2,1,0,0,,,,,
McCall Zerboni,7.0,us USA,MF,26-162,90,1,0,0,0,4,1,0,0,4,3,0,0,,,,,
13 Players,,,,,990,2,2,0,0,18,7,1,0,14,14,1,0,,,,,
