Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Rachel Daly,3.0,eng ENG,FW,26-150,90,1,0,0,0,,,1,0,,,,,,,0,,
Kealia Watt,7.0,us USA,AM,26-094,75,0,1,0,0,,,0,0,,,,,,,0,,
Thembi Kgatlana,11.0,za RSA,FW,22-003,15,0,1,0,0,,,0,0,,,,,,,0,,
Nichelle Prince,14.0,ca CAN,AM,23-075,89,1,0,0,0,,,0,0,,,,,,,0,,
Savannah Jordan,13.0,us USA,FW,23-101,1,0,0,0,0,,,0,0,,,,,,,0,,
Kyah Simon,17.0,au AUS,AM,26-314,90,0,0,0,0,,,0,0,,,,,,,0,,
Kristie Mewis,19.0,us USA,DM,27-069,90,0,0,0,0,,,0,0,,,,,,,0,,
Haley Hanson,9.0,us USA,DM,22-092,90,0,0,0,0,,,0,0,,,,,,,0,,
Kimberly Keever,18.0,us USA,LB,22-225,90,0,0,0,0,,,0,0,,,,,,,0,,
Janine van Wyk,5.0,za RSA,CB,31-018,90,0,0,0,0,,,0,0,,,,,,,0,,
Amber Brooks,22.0,us USA,CB,27-102,90,0,0,0,0,,,0,0,,,,,,,0,,
Lindsay Agnew,20.0,ca CAN,RB,23-035,70,0,1,0,0,,,0,0,,,,,,,0,,
Veronica Latsko,12.0,us USA,"FW,MF",22-144,20,1,0,0,0,,,0,0,,,,,,,0,,
Jane Campbell,1.0,us USA,GK,23-077,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,3,3,0,0,,,1,0,,,,,,,0,,
