Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lynn Biyendolo,9.0,us USA,"FW,MF",22-331,88,0.0,0.0,,,3.0,1.0,,,0,1,0.0,,,,,,
Makenzy Doniak,3.0,us USA,"FW,MF",22-051,2,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Sabrina D'Angelo,1.0,ca CAN,GK,22-341,90,,,,,,,,,0,0,,,,,,,
Abby Dahlkemper,13.0,us USA,"DF,MF",22-339,90,0.0,0.0,,,1.0,1.0,,,0,1,1.0,,,,,,
Jaelene Daniels,15.0,us USA,DF,22-324,77,0.0,0.0,,,0.0,0.0,,,2,1,0.0,,,,,,
Courtney Niemiec,23.0,us USA,DF,24-003,13,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Elizabeth Eddy,4.0,us USA,"DF,MF",24-216,90,0.0,0.0,,,0.0,0.0,,,3,1,1.0,,,,,,
Abby Erceg,6.0,nz NZL,"DF,FW",26-148,90,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Michaela Hahn,2.0,us USA,MF,21-363,90,0.0,0.0,,,2.0,0.0,,,2,0,0.0,,,,,,
Alanna Kennedy,8.0,au AUS,"DF,MF",21-086,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Adriana Leon,19.0,ca CAN,"FW,MF",23-197,69,0.0,0.0,,,1.0,0.0,,,0,2,0.0,,,,,,
Kristen Hamilton,17.0,us USA,"FW,MF",23-365,21,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Jessica McDonald,14.0,us USA,FW,28-048,90,0.0,0.0,,,3.0,1.0,,,0,0,0.0,,,,,,
Sam Mewis,5.0,us USA,MF,23-190,90,1.0,0.0,,,4.0,3.0,,,0,0,0.0,,,,,,
14 Players,,,,,990,1.0,0.0,,,14.0,6.0,,,9,7,2.0,,,,,,
