player_name,id1,matches1,first1,last1,recent1,id2,matches2,first2,last2,recent2
"Adriana","1c9111b9","76","2013","2024","0","f53926c0","0","","","0"
"Ally Cook","6c58c35f","0","","","0","7501fe57","2","2024","2024","1"
"Amirah Ali","6385427b","3","2023","2024","1","6aaa2d44","45","2022","2023","0"
"Anaïg Butel","74c78fea","3","2024","2024","1","f8e553a1","8","2023","2023","0"
"Andressa","c9db7427","5","2023","2023","0","cd3e01dc","3","2023","2024","1"
"Cameron Tucker","ab8f6575","3","2023","2024","1","ad0de246","35","2022","2023","0"
"Claire Lavogez","814471bd","2","2024","2024","1","ca231f81","15","2022","2023","0"
"Clarisse Le Bihan","a063dd56","43","2022","2023","0","f7d5735f","5","2023","2023","1"
"Croix Soto","05e6b7dc","1","2023","2023","1","9a854d95","15","2023","2023","0"
"Elyse Bennett","b97c76ec","60","2022","2023","0","dbdabf96","5","2023","2024","1"
"Emina Ekic","88694135","51","2021","2023","0","8a985938","2","2023","2024","1"
"Frankie Tagliaferri","39c750b9","3","2024","2024","1","6d22d022","19","2022","2023","0"
"Gabby Provenzano","98a2af13","1","2023","2023","1","a754e77a","9","2022","2023","0"
"Hope Breslin","0c112128","14","2022","2023","0","6ef00140","0","","","0"
"Inès Jaurena","864383e7","1","2024","2024","1","91b864fb","16","2023","2023","0"
"Isabella Briede","4a1e993d","1","2023","2023","1","c58e149a","39","2022","2023","0"
"Izzy D'Aquila","54e15a35","4","2023","2024","1","ee94e1d8","21","2023","2023","0"
"Jenna Nighswonger","3d0e9d13","5","2023","2024","1","52c1000a","29","2023","2023","0"
"Jennifer Beattie","8b3856a2","0","","","0","bd8b51ce","1","2024","2024","1"
"Jillienne Aguilera","9512b32d","36","2022","2023","0","bb91c574","3","2023","2024","1"
"Julia Lester","11865a9d","3","2023","2024","1","85a84c9f","43","2022","2023","0"
"Jun Endō","123f297e","47","2022","2023","0","f593cab9","4","2023","2023","1"
"Jyllissa Harris","01560b29","7","2023","2023","0","3cf46aa1","1","2023","2023","1"
"Júlia","6772c295","4","2023","2024","1","e6067307","25","2023","2023","0"
"Kelsey Turnbow","9413657a","38","2022","2023","0","b17fdaea","1","2023","2023","1"
"Kerolin","e4633f5f","42","2022","2023","0","ef1ec0d9","3","2023","2024","1"
"Kirsten Davis","4e12d471","2","2023","2024","1","74887860","50","2022","2023","0"
"Lena Silano","6de9ccc5","2","2023","2024","1","b999a14e","17","2023","2023","0"
"Lily Nabet","295f4306","29","2022","2023","0","6fe0b3fe","2","2023","2023","1"
"Lily Woodham","828d664e","2","2024","2024","1","e73211b1","0","","","0"
"Madison Elwell","a5b4bf69","18","2022","2023","0","ebcc0897","2","2023","2024","1"
"Marissa Sheva","0b275490","2","2023","2023","1","f86c29df","21","2022","2023","0"
"Maximiliane Rall","b5f9ea31","0","","","0","ce17abd1","2","2024","2024","1"
"Naomi Girma","57b8b79c","8","2023","2024","1","71ea9891","49","2022","2023","0"
"Natalie Beckman","ad4e5eb2","15","2022","2023","0","de10b12b","1","2023","2023","1"
"Nicole Douglas","1998123e","15","2023","2023","0","391e003f","2","2023","2024","1"
"Olivia Athens","0b22aae8","2","2024","2024","1","42e269b6","22","2022","2023","0"
"Olivia Wingate","122d197a","23","2023","2023","1","4ad01d4e","2","2023","2024","1"
"Ouleymata Sarr","57ed42de","3","2024","2024","1","b774b128","7","2023","2023","0"
"Paige Metayer","470b26b3","26","2023","2023","0","9fef2983","4","2023","2024","1"
"Parker Goins","b4136d3a","23","2022","2023","0","d83042df","1","2023","2023","1"
"Rebecca Holloway","c50ff385","1","2023","2023","1","c65b28ec","18","2022","2023","0"
"Ryanne Brown","c2e7bfae","18","2022","2023","0","c4a75e48","3","2024","2024","1"
"Samantha Fisher","002347a3","22","2022","2023","0","f4d0619c","1","2023","2023","1"
"Sarah Griffith","994875c3","35","2022","2023","0","fab5ceed","3","2023","2024","1"
"Scarlett Camberos","0a2fdba2","6","2023","2024","1","fc3d8667","26","2023","2023","0"
"Shelby Hogan","755a959f","7","2022","2023","0","8907c2bd","3","2023","2024","1"
"Sierra Enge","1788cbeb","0","","","0","4fcab1f1","14","2023","2023","0"
"Sofia Jakobsson","0429fb35","44","2022","2023","0","27a4ff80","8","2023","2024","1"
"Stine Ballisager Pedersen","01b77eeb","4","2023","2023","0","41880331","2","2024","2024","1"
"Svava Rós Guðmundsdóttir","418082e4","7","2023","2023","0","b9b91bb5","1","2023","2023","1"
"Tarciane","15e54143","1","2023","2023","1","3e18376f","0","","","0"
"Wang Shuang","35864ba3","22","2022","2023","0","bf959e17","2","2023","2024","1"
